title,romanized,productId,platform,gameFilename,thumbnailFilename,manualFilename,musicFilename,Store Page
SF特攻警備隊ダイナマイト轟轟(冒険編),SF Tokkou Keibi-tai Dynamite Gou Gou (Bouken-hen),1620,MSX,RTG0002a.bin,RTG0002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1620
幻獣鬼 アンデッドライン,Genjuuki - Undead Line,1621,X68000,TAE0041a.bin,TAE0041.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1621
WOOM,Woom,1622,PC-9801,SAC0029a.bin,SAC0029.bmp,SAC0029m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1622
ディーヴァ,Daiva,1623,MSX,TAE1018a.bin,TAE1018.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1623
悶々怪物　モンモンモンスター,Mon Mon Kaibutsu - Mon Mon Monster,1624,MSX2,HOT1007a.bin,HOT1007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1624
神戸恋愛物語,Kobe Ren-ai Monogatari,1625,PC-8801,CBR0003a.bin,CBR0003.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1625
マジクリメント,Magicrement,1626,PC-9801,COS0011a.bin,COS0011.bmp,COS0011m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1626
リザード,Lizard,1627,PC-6001mkII,XTA0026a.bin,XTA0026.bmp,XTA0026m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1627
8ビットリズムランド,8-bit Rhythm Land,1628,FC,CBC0002a.bin,CBC0002.bmp,CBC0002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1628
ヘラクレスの栄光III 神々の沈黙,Heracles no Eikou III - Kamigami no Chinmoku,1629,SFC,PPD0008a.bin,PPD0008.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1629
メルヘンヴェール,Melpool Land,1630,MSX,SAC1003a.bin,SAC1003.bmp,SAC1003m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1630
ピラミッド・ワープ,Pyramid Warp,1631,MSX,TAE1019a.bin,TAE1019.bmp,TAE1019m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1631
パイプライン大作戦,Pipeline Daisakusen,1632,FC,COM6002a.bin,COM6002.bmp,COM6002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1632
ハイドライド,Hydlide,1633,PC-6601,TAE0042a.bin,TAE0042.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1633
テグザー,Thexder,1634,FM-7,GAR0017a.bin,GAR0017.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1634
RELICS,Relics,1635,MSX2,BOT1018a.bin,BOT1018.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1635
スーパーレイドック ミッションストライカー,Super Laydock - Mission Striker,1636,X1,TAE0043a.bin,TAE0043.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1636
夢幻の心臓II,Mugen no Shinzou II,1637,FM-7,XTA0027a.bin,XTA0027.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1637
エルスリード,Elthlead,1638,MSX2,NCS1002a.bin,NCS1002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1638
ボーステック1，100円セット【2021夏のトリプルキャンペーン限定】,"Bothtec (1, 100-en Set (2021 Natsu no Triple Campaign Gentei)",1639,Other,BOT0046a.bin,BOT0046.bmp,BOT0046m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1639
キャリーラボ1，100円セット【2021夏のトリプルキャンペーン限定】,"Carry lab 1,000-en Set (2021 Natsu no Triple Campaign Gentei)",1640,Other,CAR0006a.bin,CAR0006.bmp,CAR0006m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1640
クリスタルソフト1，100円セット【2021夏のトリプルキャンペーン限定】,"Xtal Soft 1, 100-en Set (2021 Natsu no Triple Campaign Gentei)",1641,Other,XTA0028a.bin,XTA0028.bmp,XTA0028m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1641
コスモスコンピュータ1，100円セット【2021夏のトリプルキャンペーン限定】,"Cosmos Computer 1, 100-en Set (2021 Natsu no Triple Campaign Gentei)",1642,Other,COS0012a.bin,COS0012.bmp,COS0012m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1642
コンパイル1，100円セット【2021夏のトリプルキャンペーン限定】,"Compile 1,100-en Set (2021 Natsu no Triple Campaign Gentei)",1643,Other,COM0081a.bin,COM0081.bmp,COM0081m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1643
システムサコム1，100円セット【2021夏のトリプルキャンペーン限定】,"System Sacom 1,100-en Set (2021 Natsu no Triple Campaign Gentei)",1644,Other,SAC0030a.bin,SAC0030.bmp,SAC0030m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1644
ハミングバードソフト1，100円セット【2021夏のトリプルキャンペーン限定】,"Hummingbird Soft (1, 100-en Set (2021 Natsu no Triple Campaign Gentei)",1645,Other,HAM0017a.bin,HAM0017.bmp,HAM0017m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1645
にゃんぴ☆これくしょん,Nyanpi Collection,1646,MSX2,COM1049a.bin,COM1049.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1646
アンデッドライン,Undead Line,1647,Mega Drive,TAE0044a.bin,TAE0044.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1647
アークスII Silent Symphony,Arcus II - Silent Symphony,1648,MSX2,TEL1022a.bin,TEL1022.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1648
トリトーン,Tritorn,1649,PC-6001mkII,CBR0004a.bin,CBR0004.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1649
アクアポリスSOS,Aqua Polis SOS,1650,MSX,COM1050a.bin,COM1050.bmp,COM1050m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1650
アスピック,Aspic,1651,PC-6001mkII,XTA0029a.bin,XTA0029.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1651
真・魔王ゴルべリアス,Shin Ma-ou Golvellius,1652,MSX2,COM1051a.bin,COM1051.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1652
超戦士ザイダー,Chousenshi Zaider,1653,FM-7,COS0013a.bin,COS0013.bmp,COS0013m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1653
BEE & FLOWER,Bee & Flower,1654,MSX,COM1052a.bin,COM1052.bmp,COM1052m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1654
ハイドライド,Hydlide,1655,FC,TAE0045a.bin,TAE0045.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1655
は〜りぃふぉっくす,Hurry Fox,1656,PC-6001mkII,MIC0047a.bin,MIC0047.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1656
反生命戦機アンドロギュヌス,Han-Seimei Senki Androgynus,1657,MSX2,TEL1023a.bin,TEL1023.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1657
ルーンマスター三国英傑伝,Rune Master - Sangoku Eiketsu-den,1658,MSX2,COM1053a.bin,COM1053.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1658
アースバウンド,Earthbound,1659,PC-6001,XTA0030a.bin,XTA0030.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1659
は〜りぃふぉっくす 雪の魔王編,Hurry Fox - Yuki no Maou-hen,1660,PC-6001mkII,MIC0048a.bin,MIC0048.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1660
バトルゴリラ,Battle Gorilla,1661,PC-8801,XTA0031a.bin,XTA0031.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1661
スタークルーザー,Star Cruiser,1662,Mega Drive,NCS0042a.bin,NCS0042.bmp,NCS0042m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1662
サイオブレード,Psy-O-Blade,1663,PC-8801,TAE0033a.bin,TAE0033.bmp,TAE0033m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1663
ハイドライド,Hydlide,1664,PC-9801,PTAE0002a.bin,PTAE0002.bmp,PTAE0002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1664
グレイテストドライバー,Greatest Driver,1665,MSX2,TAE1017a.bin,TAE1017.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1665
ジェルダ,Jelda,1666,FM-7,CAR0002a.bin,CAR0002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1666
闇の血族,Yami no Ketsuzoku - The Predestined Homicides #1,1667,X68000,SAC0011a.bin,SAC0011.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1667
ガルケーブ,Gulkave,1668,MSX,COM1043a.bin,COM1043.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1668
あかんべドラゴン,Akanbe Dragon,1669,MSX2,WIN1002a.bin,WIN1002.bmp,WIN1002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1669
ザナック（海外Version）,Zanac (Kaigai Version),1670,FC,COM6003a.bin,COM6003.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1670
ウォーニング,Warning,1671,PC-8801,COS0014a.bin,COS0014.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1671
聖なる剣,Sei Naru Tsurugi - Holy Sword,1672,PC-6001,XTA0032a.bin,XTA0032.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1672
空牙,Kuuga - Operation Code 'Vapor Trail',1673,Arcade,PPD0009a.bin,PPD0009.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1673
ハイドライドII,Hydlide II,1674,MSX,TAE1007a.bin,TAE1007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1674
クリムゾン,Crimson,1675,MSX2,XTA1002a.bin,XTA1002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1675
りっくとみっくの大冒険,Rick to Mick no Daibouken,1676,MSX2,HAM1005a.bin,HAM1005.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1676
闇の血族　−完結編−,Yami no Ketsuzoku - The Predestined Homicides #2 - Kanketsu-hen,1677,X68000,SAC0012a.bin,SAC0012.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1677
レイドック,Laydock,1678,FM77AV,TAE0005a.bin,TAE0005.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1678
みちよドリーミィ 〜ザ・クイズマスター〜,Michiyo Dreamy - The Quiz Master,1679,PC-9801,SAC0021a.bin,SAC0021.bmp,SAC0021m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1679
クレアスター,Crusader,1680,PC-9801,BOT0025a.bin,BOT0025.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1680
トップルジップ,Topple Zip,1681,FM-7,BOT0047a.bin,BOT0047.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1681
アビス,Abyss,1682,FM-7,HAM0018a.bin,HAM0018.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1682
トリトーン,Tritorn,1683,MSX,CBR1003a.bin,CBR1003.bmp,CBR1003m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1683
ザ・病院,"Byouin, The",1684,PC-8801,PSK0001a.bin,PSK0001.bmp,PSK0001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1684
クリムゾンII,Crimson II,1685,MSX2,XTA1003a.bin,XTA1003.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1685
ハイドライド3,Hydlide 3,1686,X1,TAE0012a.bin,TAE0012.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1686
真・魔王ゴルべリアス,Shin Ma-ou Golvellius,1687,MSX2,COM1051a.bin,COM1051.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1687
ブラスターバーン総集編(前編),Blaster Burn - Soushuu-hen (Zen-hen),1688,MSX2,PCOM0013a.bin,PCOM0013.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1688
レジオナルパワー,Regional Power,1689,PC-9801,COS0003a.bin,COS0003.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1689
超戦士ザイダー,Chousenshi Zaider,1690,FM-7,COS0013a.bin,COS0013.bmp,COS0013m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1690
ピラミッド・ワープ,Pyramid Warp,1691,MSX,TAE1019a.bin,TAE1019.bmp,TAE1019m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1691
ロストパワー,Lost Power,1692,PC-8801,WIN0009a.bin,WIN0009.bmp,WIN0009m.bin,WIN0009d.bin,https://www.amusement-center.com/project/egg/game/?product_id=1692
ハイドライド,Hydlide,1693,X1,TAE0046a.bin,TAE0046.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1693
ヴォルガード,Volguard,1694,PC-6001mkII,DBS0012a.bin,DBS0012.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1694
キングオブボクサー,King of Boxer,1695,Arcade,WDP0002a.bin,WDP0002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1695
クリムゾンIII,Crimson III,1696,MSX2,XTA1004a.bin,XTA1004.bmp,XTA1004m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1696
メルヘンヴェール,Melpool Land,1697,FM-7,SAC0028a.bin,SAC0028.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1697
38万キロの虚空,38-man Kilo no Kokuu,1698,PC-9801,SAC0016a.bin,SAC0016.bmp,SAC0016m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1698
アンデッドライン,Undead Line,1699,MSX2,TAE1011a.bin,TAE1011.bmp,TAE1011m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1699
ハイウェイスター,Highway Star,1700,PC-9801,SAC0019a.bin,SAC0019.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1700
ブラスターバーン総集編(後編),Blaster Burn - Soushuu-hen (Kou-hen),1701,MSX,PCOM0014a.bin,PCOM0014.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1701
リザード,Lizard,1702,PC-8801,XTA0023a.bin,XTA0023.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1702
クルセーダー,Crusader,1703,MSX,COM1054a.bin,COM1054.bmp,COM1054m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1703
ディーヴァ,Daiva,1704,PC-9801,TAE0047a.bin,TAE0047.bmp,TAE0047m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1704
ランダーの冒険III 〜闇に魅せられた魔術師〜,Rander no Bouken III - Yami ni Miserareta Majutsushi,1705,MSX2,COM1055a.bin,COM1055.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1705
アメリカントラック,American Truck,1706,PC-6001mkII,TEL0069a.bin,TEL0069.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1706
白と黒の伝説 〜輪廻転生編〜,Shiro to Kuro no Densetsu - Rinnetenshou-hen,1707,MSX,STW1008a.bin,STW1008.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1707
夢幻の心臓II,Mugen no Shinzou II,1708,X1,XTA0008a.bin,XTA0008.bmp,XTA0008m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1708
メルヘンヴェールII,Melpool Land II,1709,PC-9801,SAC0008a.bin,SAC0008.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1709
ソフトでハードな物語,Soft de Hard na Monogatari,1710,X68000,SAC0014a.bin,SAC0014.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1710
ジェルダ2,Jelda 2,1711,FM-7,CAR0003a.bin,CAR0003.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1711
ファイアボール,Fire Ball,1712,FM77AV,HAM0007a.bin,HAM0007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1712
レジオナルパワー2,Regional Power 2,1713,PC-9801,COS0009a.bin,COS0009.bmp,COS0009m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1713
ホテルウォーズ,Hotel Wars,1714,X68000,BOT0024a.bin,BOT0024.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1714
飛車,Hisha,1715,PC-6001mkII,CAR0007a.bin,CAR0007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1715
惑星メフィウス,Wakusei Mephius,1716,PC-6001mkII,TAE0048a.bin,TAE0048.bmp,TAE0048m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1716
アルファックスZ,Alphax Z,1717,Arcade,WDP0003a.bin,WDP0003.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1717
白と黒の伝説 〜アスカ編〜,Shiro to Kuro no Densetsu - Asuka-hen,1718,MSX,STW1009a.bin,STW1009.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1718
RELICS,Relics,1719,PC-9801,BOT0029a.bin,BOT0029.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1719
ディーヴァ,Daiva,1720,PC-8801,TAE0037a.bin,TAE0037.bmp,TAE0037m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1720
ハイドライド,Hydlide,1721,MSX,TAE1002a.bin,TAE1002.bmp,TAE1002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1721
アグニの石,Agni no Ishi,1722,MSX2,HAM1002a.bin,HAM1002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1722
ソフトでハードな物語II,Soft de Hard na Monogatari II,1723,X68000,SAC0015a.bin,SAC0015.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1723
レジオナルパワー3,Regional Power 3,1724,PC-9801,COS0008a.bin,COS0008.bmp,COS0008m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1724
バビロン,Babylon,1725,PC-8801,XTA0016a.bin,XTA0016.bmp,XTA0016m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1725
バトルシップクラプトン2,Battleship Clapton 2,1726,MSX,TAE1020a.bin,TAE1020.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1726
デビルズコース,Devil's Course,1727,SFC,TAE0049a.bin,TAE0049.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1727
ジェルダ,Jelda,1728,PC-6001mkII,,,,,https://www.amusement-center.com/project/egg/game/?product_id=1728
トリトーン,Tritorn,1729,X1,,,,,https://www.amusement-center.com/project/egg/game/?product_id=1729
魔宮殿,Makyuu Den,1730,MSX2,,,,,https://www.amusement-center.com/project/egg/game/?product_id=1730
ハイドライド3SV,Hydlide 3 SV,1731,X68000,TAE0020a.bin,TAE0020.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1731
